Anio mes;Codigo IATA;Descripcion;Estado;Pasajeros nacionales;Pasajeros internacionales
201501;CEN;Ciudad Obregon;Sonora;17149;721
201501;CLQ;Colima;Colima;8486;124
201501;CME;Ciudad del Carmen;Campeche;56079;3126
201501;CPE;Campeche;Campeche;13264;215
201501;CTM;Chetumal;Quintana Roo;13153;0
201501;CVM;Ciudad Victoria;Tamaulipas;4695;139
201501;GYM;Guaymas;Sonora;1315;386
201501;LTO;Loreto;Baja California  Sur;1050;2684
201501;MAM;Matamoros;Tamaulipas;6684;61
201501;NLD;Nuevo Laredo;Tamaulipas;5609;10
201501;NOG;Nogales;Sonora;257;37
201501;PAZ;Poza Rica;Veracruz;4490;0
201501;PBC;Puebla;Puebla;20794;4723
201501;PXM;Puerto Escondido;Oaxaca;16754;580
201501;TCN;Tehuacan;Puebla;153;0
201501;TPQ;Tepic;Nayarit;8116;0
201501;TSL;Tamuin;San Luis Potosi;108;0
201501;UPN;Uruapan;Michoacan;8227;1208
201502;CEN;Ciudad Obregon;Sonora;15430;700
201502;CLQ;Colima;Colima;9207;67
201502;CME;Ciudad del Carmen;Campeche;48255;2632
201502;CPE;Campeche;Campeche;12797;206
201502;CTM;Chetumal;Quintana Roo;11110;6
201502;CVM;Ciudad Victoria;Tamaulipas;4902;163
201502;GYM;Guaymas;Sonora;1000;336
201502;LTO;Loreto;Baja California  Sur;651;4511
201502;MAM;Matamoros;Tamaulipas;6443;55
201502;NLD;Nuevo Laredo;Tamaulipas;5541;55
201502;NOG;Nogales;Sonora;204;38
201502;PAZ;Poza Rica;Veracruz;5368;0
201502;PBC;Puebla;Puebla;16316;3539
201502;PXM;Puerto Escondido;Oaxaca;11146;431
201502;TCN;Tehuacan;Puebla;250;0
201502;TPQ;Tepic;Nayarit;7062;0
201502;TSL;Tamuin;San Luis Potosi;205;0
201502;UPN;Uruapan;Michoacan;5581;920
201503;CEN;Ciudad Obregon;Sonora;20272;632
201503;CLQ;Colima;Colima;8906;85
201503;CME;Ciudad del Carmen;Campeche;50333;2678
201503;CPE;Campeche;Campeche;15863;304
201503;CTM;Chetumal;Quintana Roo;13651;2
201503;CVM;Ciudad Victoria;Tamaulipas;8116;185
201503;GYM;Guaymas;Sonora;1170;556
201503;LTO;Loreto;Baja California  Sur;793;5418
201503;MAM;Matamoros;Tamaulipas;7219;89
201503;NLD;Nuevo Laredo;Tamaulipas;6116;16
201503;NOG;Nogales;Sonora;295;54
201503;PAZ;Poza Rica;Veracruz;5756;0
201503;PBC;Puebla;Puebla;21621;4421
201503;PXM;Puerto Escondido;Oaxaca;15527;357
201503;TCN;Tehuacan;Puebla;296;0
201503;TPQ;Tepic;Nayarit;8953;0
201503;TSL;Tamuin;San Luis Potosi;172;0
201503;UPN;Uruapan;Michoacan;6588;1037
201504;CEN;Ciudad Obregon;Sonora;19649;539
201504;CLQ;Colima;Colima;8698;70
201504;CME;Ciudad del Carmen;Campeche;47173;2650
201504;CPE;Campeche;Campeche;13750;264
201504;CTM;Chetumal;Quintana Roo;14271;22
201504;CVM;Ciudad Victoria;Tamaulipas;5714;111
201504;GYM;Guaymas;Sonora;1322;303
201504;LTO;Loreto;Baja California  Sur;1708;5376
201504;MAM;Matamoros;Tamaulipas;7838;85
201504;NLD;Nuevo Laredo;Tamaulipas;5221;35
201504;NOG;Nogales;Sonora;270;39
201504;PAZ;Poza Rica;Veracruz;5410;0
201504;PBC;Puebla;Puebla;21948;4347
201504;PXM;Puerto Escondido;Oaxaca;15547;348
201504;TCN;Tehuacan;Puebla;249;0
201504;TPQ;Tepic;Nayarit;8664;0
201504;TSL;Tamuin;San Luis Potosi;89;0
201504;UPN;Uruapan;Michoacan;6993;1348
201505;CEN;Ciudad Obregon;Sonora;19878;582
201505;CLQ;Colima;Colima;8827;80
201505;CME;Ciudad del Carmen;Campeche;49967;3287
201505;CPE;Campeche;Campeche;14788;258
201505;CTM;Chetumal;Quintana Roo;13762;9
201505;CVM;Ciudad Victoria;Tamaulipas;5511;173
201505;GYM;Guaymas;Sonora;1199;457
201505;LTO;Loreto;Baja California  Sur;884;4744
201505;MAM;Matamoros;Tamaulipas;8056;94
201505;NLD;Nuevo Laredo;Tamaulipas;5508;7
201505;NOG;Nogales;Sonora;342;23
201505;PAZ;Poza Rica;Veracruz;5130;0
201505;PBC;Puebla;Puebla;22044;4145
201505;PXM;Puerto Escondido;Oaxaca;11401;356
201505;TCN;Tehuacan;Puebla;337;0
201505;TPQ;Tepic;Nayarit;9437;0
201505;TSL;Tamuin;San Luis Potosi;158;0
